"genus","cont","phyl.age","fossil.age"
"Neotragus",1,6.96868247768998,2.588
"Neovison",1,5.6016995643599,NA
"Nesokia",2,3.33888123806503,2.588
"Nesolagus",1,5.18492562150001,NA
"Neurotrichus",1,51.99999284,9.7
"Neusticomys",1,11.5614182397499,NA
"Ningaui",1,12.3508302999999,2.588
"Niviventer",1,8.69832449411503,2.588
"Noctilio",2,34.2200253316,16.3
"Nomascus",1,8.89996166600001,0.781
"Nothropus",1,NA,2.588
"Nothrotheriops",1,2.358370138,4.9
"Nothrotherium",1,2.358370138,2.588
"Notiomys",1,2.251965209,NA
"Notiosorex",1,9.4222876885,6.1
"Notomys",1,4.70138551133995,NA
"Notoryctes",1,59.6000218437,NA
"Nototherium",1,NA,5.332
"Nyctalus",2,4.970957291575,0.781
"Nyctereutes",1,3.475784666,8.7
"Nycteris",2,51.3600229709001,5.332
"Nycticebus",1,22.4475306329499,15.97
"Nycticeinops",2,3.8089851565,NA
"Nycticeius",1,16.25426928415,0.126
"Nyctimene",1,8.50563934554996,NA
"Nyctinomops",2,15.682200707965,NA
"Nyctomys",1,12.87214934,NA
